,activity_name,node,list_of_external_resources,has_limitations
39,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_mitigation_Footnotes,[],[]
40,"Installation, maintenance and repair of renewable energy technologies",7.6,['Regulation (EC) No 1893/2006'],[]
41,"Installation, maintenance and repair of renewable energy technologies",7.6_mitigation_SubstantialContributionCriteria,['Directive (EU) 2018/2001'],[]
42,"Installation, maintenance and repair of renewable energy technologies",7.6_mitigation_DNSHonClimateAdaptation,['Appendix A to this Annex'],[]
43,"Installation, maintenance and repair of renewable energy technologies",7.6_mitigation_DNSHonWater,[],[]
44,"Installation, maintenance and repair of renewable energy technologies",7.6_mitigation_DNSHonCircularEconomy,[],[]
45,"Installation, maintenance and repair of renewable energy technologies",7.6_mitigation_DNSHonPollutionPrevention,[],[]
46,"Installation, maintenance and repair of renewable energy technologies",7.6_mitigation_DNSHonBiodiversity,[],[]
47,"Installation, maintenance and repair of renewable energy technologies",7.6_mitigation_Footnotes,[],[]
48,Acquisition and ownership of buildings,7.7,['Regulation (EC) No 1893/2006'],[]
49,Acquisition and ownership of buildings,7.7_mitigation_SubstantialContributionCriteria,[],"['For buildings built before 31 December 2020, must have at least an EPC class A or be within the top 15% of national/regional building stock as operational PED.', 'For buildings built after 31 December 2020, must meet criteria specified in Section 7.1 of this Annex relevant at the time of acquisition.', 'Large non-residential buildings over 290 kW must be efficiently operated through energy performance monitoring and assessment.']"
50,Acquisition and ownership of buildings,7.7_mitigation_DNSHonClimateAdaptation,['Appendix A to this Annex'],[]
51,Acquisition and ownership of buildings,7.7_mitigation_DNSHonWater,[],[]
52,Acquisition and ownership of buildings,7.7_mitigation_DNSHonCircularEconomy,[],[]
53,Acquisition and ownership of buildings,7.7_mitigation_DNSHonPollutionPrevention,[],[]
54,Acquisition and ownership of buildings,7.7_mitigation_DNSHonBiodiversity,[],[]
55,Acquisition and ownership of buildings,7.7_mitigation_Footnotes,['Directive 2010/31/EU'],[]
