sectorLabel,activityLabel,subActivity,metadata,metadataDescription,metadataLimitation,metadataExternalsource
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to in the EU LUCAS survey(609);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(610) or the IUCN Red List(611);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(612).",not built on greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species,https://esdac.jrc.ec.europa.eu/projects/lucas
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to in the EU LUCAS survey(609);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(610) or the IUCN Red List(611);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(612).",not built on greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species,https://www.iucn.org/regions/europe/our-work/biodiversity-conservation/european-red-list-threatened-species
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to in the EU LUCAS survey(609);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(610) or the IUCN Red List(611);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(612).",not built on greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species,https://www.iucnredlist.org
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to in the EU LUCAS survey(609);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(610) or the IUCN Red List(611);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(612).",not built on land matching the definition of forest as set out in national law used in the national greenhouse gas inventory,Appendix D to this Annex
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to in the EU LUCAS survey(609);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(610) or the IUCN Red List(611);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(612).",not built on land matching the definition of forest as set out in national law used in the national greenhouse gas inventory,EU LUCAS survey
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to in the EU LUCAS survey(609);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(610) or the IUCN Red List(611);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(612).",not built on land matching the definition of forest as set out in national law used in the national greenhouse gas inventory,European Red List
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to in the EU LUCAS survey(609);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(610) or the IUCN Red List(611);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(612).",not built on land matching the definition of forest as set out in national law used in the national greenhouse gas inventory,IUCN Red List
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to in the EU LUCAS survey(609);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(610) or the IUCN Red List(611);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(612).",not built on land matching the definition of forest as set out in national law used in the national greenhouse gas inventory,https://esdac.jrc.ec.europa.eu/projects/lucas
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to in the EU LUCAS survey(609);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(610) or the IUCN Red List(611);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(612).",not built on land matching the definition of forest as set out in national law used in the national greenhouse gas inventory,https://www.iucn.org/regions/europe/our-work/biodiversity-conservation/european-red-list-threatened-species
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_adaptation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to in the EU LUCAS survey(609);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(610) or the IUCN Red List(611);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(612).",not built on land matching the definition of forest as set out in national law used in the national greenhouse gas inventory,https://www.iucnredlist.org
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity,Appendix D to this Annex
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity,EU LUCAS survey
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity,FAO definition of forest
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity,IUCN European Red List of Threatened Species
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity,IUCN Red List of Threatened Species
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity,http://www.fao.org/3/I8661EN/i8661en.pdf
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on greenfield land of recognised high biodiversity value,Appendix D to this Annex
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on greenfield land of recognised high biodiversity value,EU LUCAS survey
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on greenfield land of recognised high biodiversity value,FAO definition of forest
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on greenfield land of recognised high biodiversity value,IUCN European Red List of Threatened Species
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on greenfield land of recognised high biodiversity value,IUCN Red List of Threatened Species
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on greenfield land of recognised high biodiversity value,http://www.fao.org/3/I8661EN/i8661en.pdf
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on land matching the definition of forest as set out in national law,Appendix D to this Annex
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on land matching the definition of forest as set out in national law,EU LUCAS survey
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on land matching the definition of forest as set out in national law,FAO definition of forest
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on land matching the definition of forest as set out in national law,IUCN European Red List of Threatened Species
Construction and real estate,Construction of new buildings,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation,https://ec.europa.eu/sustainable-finance-taxonomy/assets/taxonomy/7.1_mitigation_DNSHonBiodiversity,"The activity complies with the criteria set out in Appendix D to this Annex.The new construction is not built on one of the following:arable land and crop land with a moderate to high level of soil fertility and below ground biodiversity as referred to the EU LUCAS survey(303);greenfield land of recognised high biodiversity value and land that serves as habitat of endangered species (flora and fauna) listed on the European Red List(304) or the IUCN Red List(305);land matching the definition of forest as set out in national law used in the national greenhouse gas inventory, or where not available, is in accordance with the FAO definition of forest(306).",The new construction is not built on land matching the definition of forest as set out in national law,IUCN Red List of Threatened Species
