,activity_name,node,list_of_external_resources,has_limitations
16,"Installation, maintenance and repair of energy efficiency equipment",7.3,"['Directive 2010/31/EU', 'Regulation (EU) 2017/1369', 'Regulation (EC) No 1893/2006']","['Compliance with minimum requirements set for individual components and systems in the applicable national measures implementing Directive 2010/31/EU', 'Rated in the highest two populated classes of energy efficiency in accordance with Regulation (EU) 2017/1369', 'Max water flow of 6 L/min or less for shower solutions, mixer showers, shower outlets and taps']"
17,"Installation, maintenance and repair of energy efficiency equipment",7.3_adaptation_SubstantialContributionCriteria,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'COM/2013/0249 final']","['Climate risk and vulnerability assessment is proportionate to the scale of the activity and its expected lifespan', 'For activities with an expected lifespan of less than 10 years, the assessment is performed using climate projections at the smallest appropriate scale', 'For activities with a longer expected lifespan, the assessment uses the highest available resolution, state-of-the-art climate projections across the existing range of future scenarios']"
18,"Installation, maintenance and repair of energy efficiency equipment",7.3_adaptation_DNSHonClimateMitigation,[],"['The building is not dedicated to extraction, storage, transport or manufacture of fossil fuels.']"
19,"Installation, maintenance and repair of energy efficiency equipment",7.3_adaptation_DNSHonWater,[],[]
20,"Installation, maintenance and repair of energy efficiency equipment",7.3_adaptation_DNSHonCircularEconomy,[],[]
21,"Installation, maintenance and repair of energy efficiency equipment",7.3_adaptation_DNSHonPollutionPrevention,[],"['Building components and materials comply with the criteria set out in Appendix C to this Annex', 'A building survey is carried out in accordance with national law by a competent specialist with training in asbestos surveying', 'Any stripping of lagging that contains or is likely to contain asbestos is carried out by appropriately trained personnel, with health monitoring before, during and after the works, in accordance with national law']"
22,"Installation, maintenance and repair of energy efficiency equipment",7.3_adaptation_DNSHonBiodiversity,[],[]
23,"Installation, maintenance and repair of energy efficiency equipment",7.3_adaptation_Footnotes,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'COM/2013/0249 final']",[]
24,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4,['Regulation (EC) No 1893/2006'],[]
25,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_adaptation_SubstantialContributionCriteria,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'https://ec.europa.eu/environment/nature/ecosystems/index_en.htm']","['The climate risk and vulnerability assessment is proportionate to the scale of the activity and its expected lifespan.', 'For activities with an expected lifespan of less than 10 years, the assessment is performed using climate projections at the smallest appropriate scale.', 'For activities with a longer expected lifespan, the assessment uses the highest available resolution, state-of-the-art climate projections across the existing range of future scenarios consistent with the expected lifetime of the activity, including at least 10 to 30 year climate projections scenarios for major investments.']"
26,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_adaptation_DNSHonClimateMitigation,[],"['The building is not dedicated to extraction, storage, transport or manufacture of fossil fuels.']"
27,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_adaptation_DNSHonWater,[],[]
28,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_adaptation_DNSHonCircularEconomy,[],[]
29,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_adaptation_DNSHonPollutionPrevention,[],[]
30,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_adaptation_DNSHonBiodiversity,[],[]
31,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_adaptation_Footnotes,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'https://ec.europa.eu/environment/nature/ecosystems/index_en.htm']",[]
32,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5,['Regulation (EC) No 1893/2006'],[]
33,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_adaptation_SubstantialContributionCriteria,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'https://ec.europa.eu/environment/nature/ecosystems/index_en.htm']","['The climate risk and vulnerability assessment is proportionate to the scale of the activity and its expected lifespan, such that: for activities with an expected lifespan of less than 10 years, the assessment is performed, at least by using climate projections at the smallest appropriate scale; for all other activities, the assessment is performed using the highest available resolution, state-of-the-art climate projections across the existing range of future scenarios consistent with the expected lifetime of the activity, including, at least, 10 to 30 year climate projections scenarios for major investments.']"
34,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_adaptation_DNSHonClimateMitigation,[],"['The building is not dedicated to extraction, storage, transport or manufacture of fossil fuels.']"
35,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_adaptation_DNSHonWater,[],[]
36,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_adaptation_DNSHonCircularEconomy,[],[]
37,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_adaptation_DNSHonPollutionPrevention,[],[]
38,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_adaptation_DNSHonBiodiversity,[],[]
39,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_adaptation_Footnotes,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'https://ec.europa.eu/environment/nature/ecosystems/index_en.htm']",[]
40,"Installation, maintenance and repair of renewable energy technologies",7.6,"['Directive (EU) 2018/2001', 'Regulation (EC) No 1893/2006']",[]
41,"Installation, maintenance and repair of renewable energy technologies",7.6_adaptation_SubstantialContributionCriteria,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'https://ec.europa.eu/environment/nature/ecosystems/index_en.htm']","['The economic activity has implemented adaptation solutions that substantially reduce the most important physical climate risks that are material to that activity.', 'The climate risk and vulnerability assessment is proportionate to the scale of the activity and its expected lifespan.', 'For activities with an expected lifespan of less than 10 years, the assessment is performed using climate projections at the smallest appropriate scale.', 'For activities with a longer expected lifespan, the assessment uses the highest available resolution, state-of-the-art climate projections across the existing range of future scenarios consistent with the expected lifetime of the activity, including at least 10 to 30 year climate projections scenarios for major investments.']"
42,"Installation, maintenance and repair of renewable energy technologies",7.6_adaptation_DNSHonClimateMitigation,[],"['The building is not dedicated to extraction, storage, transport or manufacture of fossil fuels.']"
43,"Installation, maintenance and repair of renewable energy technologies",7.6_adaptation_DNSHonWater,[],[]
44,"Installation, maintenance and repair of renewable energy technologies",7.6_adaptation_DNSHonCircularEconomy,[],[]
45,"Installation, maintenance and repair of renewable energy technologies",7.6_adaptation_DNSHonPollutionPrevention,[],[]
46,"Installation, maintenance and repair of renewable energy technologies",7.6_adaptation_DNSHonBiodiversity,[],[]
47,"Installation, maintenance and repair of renewable energy technologies",7.6_adaptation_Footnotes,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'https://ec.europa.eu/environment/nature/ecosystems/index_en.htm']",[]
48,Acquisition and ownership of buildings,7.7,['Regulation (EC) No 1893/2006'],[]
49,Acquisition and ownership of buildings,7.7_adaptation_SubstantialContributionCriteria,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'https://ec.europa.eu/environment/nature/ecosystems/index_en.htm']","['The climate risk and vulnerability assessment is proportionate to the scale of the activity and its expected lifespan.', 'For activities with an expected lifespan of less than 10 years, the assessment is performed using climate projections at the smallest appropriate scale.', 'For activities with a longer expected lifespan, the assessment uses the highest available resolution, state-of-the-art climate projections across the existing range of future scenarios consistent with the expected lifetime of the activity, including at least 10 to 30 year climate projections scenarios for major investments.']"
50,Acquisition and ownership of buildings,7.7_adaptation_DNSHonClimateMitigation,['Directive 2010/31/EU'],"['For buildings built before 31 December 2020, the building has at least an Energy Performance Certificate (EPC) class C or is within the top 30% of the national or regional building stock as operational Primary Energy Demand (PED).', 'For buildings built after 31 December 2020, the PED defining the energy performance does not exceed the threshold set for nearly zero-energy building (NZEB) requirements in national regulation.']"
51,Acquisition and ownership of buildings,7.7_adaptation_DNSHonWater,[],[]
52,Acquisition and ownership of buildings,7.7_adaptation_DNSHonCircularEconomy,[],[]
53,Acquisition and ownership of buildings,7.7_adaptation_DNSHonPollutionPrevention,[],[]
54,Acquisition and ownership of buildings,7.7_adaptation_DNSHonBiodiversity,[],[]
55,Acquisition and ownership of buildings,7.7_adaptation_Footnotes,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'https://ec.europa.eu/environment/nature/ecosystems/index_en.htm', 'Directive 2010/31/EU']",[]
